,baseline_siglip,baseline_hyperiqa,baseline_mllm,baseline_vl,baseline_frontier,ood_siglip,ood_hyperiqa,ood_mllm,ood_vl,ood_frontier
siglip,0.0,0.24985795444430306,0.2100839562453442,0.23798008284979766,0.2181376170625652,0.0,0.554027518018385,0.4855973538786718,0.512622409445,0.4864216108994145
hyperiqa,0.24985795444430306,0.0,0.22616469466750114,0.2564690603972988,0.24474457360136395,0.554027518018385,0.0,0.47356536922422066,0.5438235356855541,0.515202251011186
mllm,0.2100839562453442,0.22616469466750114,0.0,0.22174889626999425,0.1901841113089008,0.4855973538786718,0.47356536922422066,0.0,0.4832482100352228,0.4594140744449697
vl,0.23798008284979766,0.2564690603972988,0.22174889626999425,0.0,0.23014669106362037,0.512622409445,0.5438235356855541,0.4832482100352228,0.0,0.5139942408119608
frontier,0.2181376170625652,0.24474457360136395,0.1901841113089008,0.23014669106362037,0.0,0.4864216108994145,0.515202251011186,0.4594140744449697,0.5139942408119608,0.0
